"IDmouse","ExpGroup","time","TVolume","lab"
"2-Ctr-WT6","Ctr-WT",6,726,"Lab 2"
"2-Ctr-WT6","Ctr-WT",9,961,"Lab 2"
"2-Ctr-WT6","Ctr-WT",12,1173,"Lab 2"
"2-Ctr-WT6","Ctr-WT",15,1629,"Lab 2"
"2-Ctr-WT7","Ctr-WT",0,260,"Lab 2"
"2-Ctr-WT7","Ctr-WT",3,413,"Lab 2"
"2-Ctr-WT7","Ctr-WT",6,776,"Lab 2"
"2-Ctr-WT7","Ctr-WT",9,916,"Lab 2"
"2-Ctr-WT7","Ctr-WT",12,1017,"Lab 2"
"2-Ctr-WT7","Ctr-WT",15,834,"Lab 2"
"2-Ctr-WT8","Ctr-WT",0,502,"Lab 2"
"2-Ctr-WT8","Ctr-WT",3,784,"Lab 2"
"2-Ctr-WT8","Ctr-WT",6,1379,"Lab 2"
"2-Ctr-WT8","Ctr-WT",9,1747,"Lab 2"
"2-Ctr-WT8","Ctr-WT",12,1794,"Lab 2"
"2-Ctr-WT8","Ctr-WT",15,1228,"Lab 2"
"2-Ctr-WT9","Ctr-WT",0,248,"Lab 2"
"2-Ctr-WT9","Ctr-WT",3,393,"Lab 2"
"2-Ctr-WT9","Ctr-WT",6,435,"Lab 2"
"2-Ctr-WT9","Ctr-WT",9,617,"Lab 2"
"2-Ctr-WT9","Ctr-WT",12,550,"Lab 2"
"2-Ctr-WT9","Ctr-WT",15,740,"Lab 2"
"3-Ctr-WT1","Ctr-WT",0,187,"Lab 3"
"3-Ctr-WT1","Ctr-WT",3,367,"Lab 3"
"3-Ctr-WT1","Ctr-WT",6,596,"Lab 3"
"3-Ctr-WT1","Ctr-WT",9,1312,"Lab 3"
"3-Ctr-WT1","Ctr-WT",12,1004,"Lab 3"
"3-Ctr-WT1","Ctr-WT",15,1561,"Lab 3"
"3-Ctr-WT10","Ctr-WT",0,214,"Lab 3"
"3-Ctr-WT10","Ctr-WT",3,425,"Lab 3"
"3-Ctr-WT10","Ctr-WT",6,637,"Lab 3"
"3-Ctr-WT10","Ctr-WT",9,1766,"Lab 3"
"3-Ctr-WT11","Ctr-WT",0,337,"Lab 3"
"3-Ctr-WT11","Ctr-WT",3,643,"Lab 3"
"3-Ctr-WT11","Ctr-WT",6,697,"Lab 3"
"3-Ctr-WT11","Ctr-WT",9,830,"Lab 3"
"3-Ctr-WT11","Ctr-WT",12,623,"Lab 3"
"3-Ctr-WT11","Ctr-WT",15,466,"Lab 3"
"3-Ctr-WT12","Ctr-WT",0,140,"Lab 3"
"3-Ctr-WT12","Ctr-WT",3,359,"Lab 3"
"3-Ctr-WT12","Ctr-WT",6,578,"Lab 3"
"3-Ctr-WT12","Ctr-WT",9,537,"Lab 3"
"3-Ctr-WT12","Ctr-WT",12,799,"Lab 3"
"3-Ctr-WT12","Ctr-WT",15,744,"Lab 3"
"3-Ctr-WT13","Ctr-WT",0,302,"Lab 3"
"3-Ctr-WT13","Ctr-WT",3,692,"Lab 3"
"3-Ctr-WT13","Ctr-WT",6,1265,"Lab 3"
"3-Ctr-WT13","Ctr-WT",9,1595,"Lab 3"
"3-Ctr-WT14","Ctr-WT",0,239,"Lab 3"
"3-Ctr-WT14","Ctr-WT",3,299,"Lab 3"
"3-Ctr-WT14","Ctr-WT",6,528,"Lab 3"
"3-Ctr-WT14","Ctr-WT",9,492,"Lab 3"
"3-Ctr-WT14","Ctr-WT",12,754,"Lab 3"
"3-Ctr-WT14","Ctr-WT",15,528,"Lab 3"
"3-Ctr-WT15","Ctr-WT",0,177,"Lab 3"
"3-Ctr-WT15","Ctr-WT",3,323,"Lab 3"
"3-Ctr-WT15","Ctr-WT",6,408,"Lab 3"
"3-Ctr-WT15","Ctr-WT",9,586,"Lab 3"
"3-Ctr-WT15","Ctr-WT",12,934,"Lab 3"
"3-Ctr-WT15","Ctr-WT",15,1155,"Lab 3"
"3-Ctr-WT16","Ctr-WT",0,189,"Lab 3"
"3-Ctr-WT16","Ctr-WT",3,296,"Lab 3"
"3-Ctr-WT16","Ctr-WT",6,443,"Lab 3"
"3-Ctr-WT16","Ctr-WT",9,679,"Lab 3"
"3-Ctr-WT16","Ctr-WT",12,1070,"Lab 3"
"3-Ctr-WT16","Ctr-WT",15,813,"Lab 3"
"3-Ctr-WT17","Ctr-WT",0,309,"Lab 3"
"3-Ctr-WT17","Ctr-WT",3,597,"Lab 3"
"3-Ctr-WT17","Ctr-WT",6,719,"Lab 3"
"3-Ctr-WT18","Ctr-WT",0,139,"Lab 3"
"3-Ctr-WT18","Ctr-WT",3,280,"Lab 3"
"3-Ctr-WT18","Ctr-WT",6,475,"Lab 3"
"3-Ctr-WT18","Ctr-WT",9,346,"Lab 3"
"3-Ctr-WT18","Ctr-WT",12,392,"Lab 3"
"3-Ctr-WT18","Ctr-WT",15,360,"Lab 3"
"3-Ctr-KO19","Ctr-KO",0,209,"Lab 3"
"3-Ctr-KO19","Ctr-KO",3,522,"Lab 3"
"3-Ctr-KO19","Ctr-KO",6,650,"Lab 3"
"3-Ctr-KO19","Ctr-KO",9,775,"Lab 3"
"3-Ctr-KO19","Ctr-KO",12,1781,"Lab 3"
"3-Ctr-KO19","Ctr-KO",15,913,"Lab 3"
"3-Ctr-WT2","Ctr-WT",0,208,"Lab 3"
"3-Ctr-WT2","Ctr-WT",3,631,"Lab 3"
"3-Ctr-WT2","Ctr-WT",6,770,"Lab 3"
"3-Ctr-WT2","Ctr-WT",9,1814,"Lab 3"
"3-Ctr-KO20","Ctr-KO",0,137,"Lab 3"
"3-Ctr-KO20","Ctr-KO",3,296,"Lab 3"
"3-Ctr-KO20","Ctr-KO",6,592,"Lab 3"
"3-Ctr-KO20","Ctr-KO",9,1114,"Lab 3"
"3-Ctr-KO20","Ctr-KO",12,1155,"Lab 3"
"3-Ctr-KO21","Ctr-KO",0,315,"Lab 3"
"3-Ctr-KO21","Ctr-KO",3,619,"Lab 3"
"3-Ctr-KO21","Ctr-KO",6,1110,"Lab 3"
"3-Ctr-KO21","Ctr-KO",9,1159,"Lab 3"
"3-Ctr-KO22","Ctr-KO",0,246,"Lab 3"
"3-Ctr-KO22","Ctr-KO",3,459,"Lab 3"
"3-Ctr-KO22","Ctr-KO",6,814,"Lab 3"
"3-Ctr-KO23","Ctr-KO",0,203,"Lab 3"
"3-Ctr-KO23","Ctr-KO",3,618,"Lab 3"
"3-Ctr-KO23","Ctr-KO",6,981,"Lab 3"
"3-Ctr-KO23","Ctr-KO",9,1284,"Lab 3"
"3-Ctr-KO24","Ctr-KO",0,383,"Lab 3"
"3-Ctr-KO24","Ctr-KO",3,795,"Lab 3"
"3-Ctr-KO24","Ctr-KO",6,1590,"Lab 3"
"3-Ctr-KO25","Ctr-KO",0,489,"Lab 3"
"3-Ctr-KO25","Ctr-KO",3,729,"Lab 3"
"3-Ctr-KO25","Ctr-KO",6,1675,"Lab 3"
"3-Ctr-KO25","Ctr-KO",9,1792,"Lab 3"
"3-Ctr-KO26","Ctr-KO",0,204,"Lab 3"
"3-Ctr-KO26","Ctr-KO",3,543,"Lab 3"
"3-Ctr-KO26","Ctr-KO",6,894,"Lab 3"
"3-Ctr-KO26","Ctr-KO",9,1293,"Lab 3"
"3-Ctr-KO27","Ctr-KO",0,218,"Lab 3"
"3-Ctr-KO27","Ctr-KO",3,557,"Lab 3"
"3-Ctr-KO27","Ctr-KO",6,789,"Lab 3"
"3-Ctr-KO27","Ctr-KO",9,1714,"Lab 3"
"3-Ctr-KO27","Ctr-KO",12,1489,"Lab 3"
"3-Ctr-KO27","Ctr-KO",15,1872,"Lab 3"
"3-Ctr-KO28","Ctr-KO",0,331,"Lab 3"
"3-Ctr-KO28","Ctr-KO",3,443,"Lab 3"
"3-Ctr-KO28","Ctr-KO",6,1070,"Lab 3"
"3-Ctr-KO29","Ctr-KO",0,129,"Lab 3"
"3-Ctr-KO29","Ctr-KO",3,227,"Lab 3"
"3-Ctr-KO29","Ctr-KO",6,329,"Lab 3"
"3-Ctr-KO29","Ctr-KO",9,500,"Lab 3"
"3-Ctr-KO29","Ctr-KO",12,808,"Lab 3"
"3-Ctr-KO29","Ctr-KO",15,422,"Lab 3"
"3-Ctr-WT3","Ctr-WT",0,209,"Lab 3"
"3-Ctr-WT3","Ctr-WT",3,417,"Lab 3"
"3-Ctr-WT3","Ctr-WT",6,827,"Lab 3"
"3-Ctr-WT3","Ctr-WT",9,1091,"Lab 3"
"3-Ctr-WT3","Ctr-WT",12,1624,"Lab 3"
"3-Ctr-KO30","Ctr-KO",0,432,"Lab 3"
"3-Ctr-KO30","Ctr-KO",3,672,"Lab 3"
"3-Ctr-KO30","Ctr-KO",6,1037,"Lab 3"
"3-Ctr-KO30","Ctr-KO",9,1710,"Lab 3"
"3-Ctr-KO31","Ctr-KO",0,206,"Lab 3"
"3-Ctr-KO31","Ctr-KO",3,379,"Lab 3"
"3-Ctr-KO31","Ctr-KO",6,562,"Lab 3"
"3-Ctr-KO31","Ctr-KO",9,982,"Lab 3"
"3-Ctr-KO31","Ctr-KO",12,1255,"Lab 3"
"3-Ctr-KO31","Ctr-KO",15,1402,"Lab 3"
"3-Ctr-KO32","Ctr-KO",0,255,"Lab 3"
"3-Ctr-KO32","Ctr-KO",3,412,"Lab 3"
"3-Ctr-KO32","Ctr-KO",6,959,"Lab 3"
"3-Ctr-KO32","Ctr-KO",9,811,"Lab 3"
"3-Ctr-KO32","Ctr-KO",12,711,"Lab 3"
"3-Ctr-KO32","Ctr-KO",15,772,"Lab 3"
"3-Ctr-KO33","Ctr-KO",0,208,"Lab 3"
"3-Ctr-KO33","Ctr-KO",3,420,"Lab 3"
"3-Ctr-KO33","Ctr-KO",6,594,"Lab 3"
"3-Ctr-KO33","Ctr-KO",9,938,"Lab 3"
"3-Ctr-KO33","Ctr-KO",12,933,"Lab 3"
"3-Ctr-KO33","Ctr-KO",15,1624,"Lab 3"
"3-Ctr-KO34","Ctr-KO",0,151,"Lab 3"
"3-Ctr-KO34","Ctr-KO",3,268,"Lab 3"
"3-Ctr-KO34","Ctr-KO",6,545,"Lab 3"
"3-Ctr-KO34","Ctr-KO",9,1100,"Lab 3"
"3-Ctr-KO34","Ctr-KO",12,1118,"Lab 3"
"3-Ctr-KO34","Ctr-KO",15,1440,"Lab 3"
"3-Ctr-KO35","Ctr-KO",0,199,"Lab 3"
"3-Ctr-KO35","Ctr-KO",3,390,"Lab 3"
"3-Ctr-KO35","Ctr-KO",6,842,"Lab 3"
"3-Ctr-KO35","Ctr-KO",9,867,"Lab 3"
"3-Ctr-KO35","Ctr-KO",12,967,"Lab 3"
"3-Ctr-KO35","Ctr-KO",15,1354,"Lab 3"
"3-Ctr-KO36","Ctr-KO",0,312,"Lab 3"
"3-Ctr-KO36","Ctr-KO",3,768,"Lab 3"
"3-Ctr-KO36","Ctr-KO",6,692,"Lab 3"
"3-Ctr-KO36","Ctr-KO",9,819,"Lab 3"
"3-Ctr-KO36","Ctr-KO",12,1022,"Lab 3"
"3-Ctr-KO36","Ctr-KO",15,941,"Lab 3"
"3-Trt-WT37","Trt-WT",0,162,"Lab 3"
"3-Trt-WT37","Trt-WT",3,315,"Lab 3"
"3-Trt-WT37","Trt-WT",6,573,"Lab 3"
"3-Trt-WT37","Trt-WT",9,447,"Lab 3"
"3-Trt-WT37","Trt-WT",12,1067,"Lab 3"
"3-Trt-WT37","Trt-WT",15,989,"Lab 3"
"3-Trt-WT38","Trt-WT",0,161,"Lab 3"
"3-Trt-WT38","Trt-WT",3,389,"Lab 3"
"3-Trt-WT38","Trt-WT",6,414,"Lab 3"
"3-Trt-WT38","Trt-WT",9,1042,"Lab 3"
"3-Trt-WT38","Trt-WT",12,1553,"Lab 3"
"3-Trt-WT39","Trt-WT",0,222,"Lab 3"
"3-Trt-WT39","Trt-WT",3,297,"Lab 3"
"3-Trt-WT39","Trt-WT",6,504,"Lab 3"
"3-Trt-WT39","Trt-WT",9,541,"Lab 3"
"3-Trt-WT39","Trt-WT",12,597,"Lab 3"
"3-Trt-WT39","Trt-WT",15,582,"Lab 3"
"3-Ctr-WT4","Ctr-WT",0,288,"Lab 3"
"3-Ctr-WT4","Ctr-WT",3,548,"Lab 3"
"3-Ctr-WT4","Ctr-WT",6,941,"Lab 3"
"3-Ctr-WT4","Ctr-WT",9,1474,"Lab 3"
"3-Ctr-WT4","Ctr-WT",12,1284,"Lab 3"
"3-Trt-WT40","Trt-WT",0,175,"Lab 3"
"3-Trt-WT40","Trt-WT",3,543,"Lab 3"
"3-Trt-WT40","Trt-WT",6,679,"Lab 3"
"3-Trt-WT40","Trt-WT",9,1076,"Lab 3"
"3-Trt-WT40","Trt-WT",12,1461,"Lab 3"
"3-Trt-WT40","Trt-WT",15,1263,"Lab 3"
"3-Trt-WT41","Trt-WT",0,242,"Lab 3"
"3-Trt-WT41","Trt-WT",3,563,"Lab 3"
"3-Trt-WT41","Trt-WT",6,836,"Lab 3"
"3-Trt-WT41","Trt-WT",9,1159,"Lab 3"
"3-Trt-WT42","Trt-WT",0,168,"Lab 3"
"3-Trt-WT42","Trt-WT",3,492,"Lab 3"
"3-Trt-WT42","Trt-WT",6,434,"Lab 3"
"3-Trt-WT42","Trt-WT",9,557,"Lab 3"
"3-Trt-WT42","Trt-WT",12,1052,"Lab 3"
"3-Trt-WT42","Trt-WT",15,1430,"Lab 3"
"3-Trt-WT43","Trt-WT",0,285,"Lab 3"
"3-Trt-WT43","Trt-WT",3,980,"Lab 3"
"3-Trt-WT43","Trt-WT",6,1263,"Lab 3"
"3-Trt-WT44","Trt-WT",0,226,"Lab 3"
"3-Trt-WT44","Trt-WT",3,318,"Lab 3"
"3-Trt-WT44","Trt-WT",6,453,"Lab 3"
"3-Trt-WT44","Trt-WT",9,1229,"Lab 3"
"3-Trt-WT44","Trt-WT",12,1517,"Lab 3"
"3-Trt-WT44","Trt-WT",15,1074,"Lab 3"
"3-Trt-WT45","Trt-WT",0,256,"Lab 3"
"3-Trt-WT45","Trt-WT",3,381,"Lab 3"
"3-Trt-WT45","Trt-WT",6,622,"Lab 3"
"3-Trt-WT45","Trt-WT",9,1499,"Lab 3"
"3-Trt-WT46","Trt-WT",0,296,"Lab 3"
"3-Trt-WT46","Trt-WT",3,705,"Lab 3"
"3-Trt-WT46","Trt-WT",6,1459,"Lab 3"
"3-Trt-WT46","Trt-WT",9,1950,"Lab 3"
"3-Trt-WT47","Trt-WT",0,203,"Lab 3"
"3-Trt-WT47","Trt-WT",3,485,"Lab 3"
"3-Trt-WT47","Trt-WT",6,782,"Lab 3"
"3-Trt-WT47","Trt-WT",9,848,"Lab 3"
"3-Trt-WT47","Trt-WT",12,1327,"Lab 3"
"3-Trt-WT47","Trt-WT",15,1582,"Lab 3"
"3-Trt-WT48","Trt-WT",0,145,"Lab 3"
"3-Trt-WT48","Trt-WT",3,346,"Lab 3"
"3-Trt-WT48","Trt-WT",6,438,"Lab 3"
"3-Trt-WT48","Trt-WT",9,942,"Lab 3"
"3-Trt-WT48","Trt-WT",12,1024,"Lab 3"
"3-Trt-WT48","Trt-WT",15,1045,"Lab 3"
"3-Trt-WT49","Trt-WT",0,142,"Lab 3"
"3-Trt-WT49","Trt-WT",3,334,"Lab 3"
"3-Trt-WT49","Trt-WT",6,371,"Lab 3"
"3-Trt-WT49","Trt-WT",9,420,"Lab 3"
"3-Trt-WT49","Trt-WT",12,617,"Lab 3"
"3-Trt-WT49","Trt-WT",15,515,"Lab 3"
"3-Ctr-WT5","Ctr-WT",0,197,"Lab 3"
"3-Ctr-WT5","Ctr-WT",3,491,"Lab 3"
"3-Ctr-WT5","Ctr-WT",6,1008,"Lab 3"
"3-Ctr-WT5","Ctr-WT",9,1805,"Lab 3"
"3-Trt-WT50","Trt-WT",0,253,"Lab 3"
"3-Trt-WT50","Trt-WT",3,322,"Lab 3"
"3-Trt-WT50","Trt-WT",6,672,"Lab 3"
"3-Trt-WT50","Trt-WT",9,1611,"Lab 3"
"3-Trt-WT50","Trt-WT",12,1369,"Lab 3"
"3-Trt-WT50","Trt-WT",15,1039,"Lab 3"
"3-Trt-WT51","Trt-WT",0,219,"Lab 3"
"3-Trt-WT51","Trt-WT",3,530,"Lab 3"
"3-Trt-WT51","Trt-WT",6,643,"Lab 3"
"3-Trt-WT51","Trt-WT",9,1056,"Lab 3"
"3-Trt-WT51","Trt-WT",12,1061,"Lab 3"
"3-Trt-WT51","Trt-WT",15,1117,"Lab 3"
"3-Trt-WT52","Trt-WT",0,170,"Lab 3"
"3-Trt-WT52","Trt-WT",3,336,"Lab 3"
"3-Trt-WT52","Trt-WT",6,869,"Lab 3"
"3-Trt-WT52","Trt-WT",9,1176,"Lab 3"
"3-Trt-WT52","Trt-WT",12,1364,"Lab 3"
"3-Trt-WT52","Trt-WT",15,1636,"Lab 3"
"3-Trt-WT53","Trt-WT",0,214,"Lab 3"
"3-Trt-WT53","Trt-WT",3,314,"Lab 3"
"3-Trt-WT53","Trt-WT",6,457,"Lab 3"
"3-Trt-WT53","Trt-WT",9,654,"Lab 3"
"3-Trt-WT53","Trt-WT",12,981,"Lab 3"
"3-Trt-WT53","Trt-WT",15,970,"Lab 3"
"3-Trt-WT54","Trt-WT",0,336,"Lab 3"
"3-Trt-WT54","Trt-WT",3,581,"Lab 3"
"3-Trt-WT54","Trt-WT",6,1055,"Lab 3"
"3-Trt-WT54","Trt-WT",9,1170,"Lab 3"
"3-Trt-WT54","Trt-WT",12,1106,"Lab 3"
"3-Trt-WT54","Trt-WT",15,1585,"Lab 3"
"3-Trt-KO55","Trt-KO",0,255,"Lab 3"
"3-Trt-KO55","Trt-KO",3,377,"Lab 3"
"3-Trt-KO55","Trt-KO",6,703,"Lab 3"
"3-Trt-KO55","Trt-KO",9,564,"Lab 3"
"3-Trt-KO55","Trt-KO",12,675,"Lab 3"
"3-Trt-KO55","Trt-KO",15,949,"Lab 3"
"3-Trt-KO56","Trt-KO",0,200,"Lab 3"
"3-Trt-KO56","Trt-KO",3,355,"Lab 3"
"3-Trt-KO56","Trt-KO",6,500,"Lab 3"
"3-Trt-KO56","Trt-KO",9,753,"Lab 3"
"3-Trt-KO56","Trt-KO",12,910,"Lab 3"
"3-Trt-KO56","Trt-KO",15,1017,"Lab 3"
"3-Trt-KO57","Trt-KO",0,163,"Lab 3"
"3-Trt-KO57","Trt-KO",3,385,"Lab 3"
"3-Trt-KO57","Trt-KO",6,712,"Lab 3"
"3-Trt-KO57","Trt-KO",9,710,"Lab 3"
"3-Trt-KO57","Trt-KO",12,933,"Lab 3"
"3-Trt-KO57","Trt-KO",15,557,"Lab 3"
"3-Trt-KO58","Trt-KO",0,331,"Lab 3"
"3-Trt-KO58","Trt-KO",3,345,"Lab 3"
"3-Trt-KO58","Trt-KO",6,471,"Lab 3"
"3-Trt-KO58","Trt-KO",9,389,"Lab 3"
"3-Trt-KO58","Trt-KO",12,439,"Lab 3"
"3-Trt-KO58","Trt-KO",15,312,"Lab 3"
"3-Trt-KO59","Trt-KO",0,140,"Lab 3"
"3-Trt-KO59","Trt-KO",3,527,"Lab 3"
"3-Trt-KO59","Trt-KO",6,988,"Lab 3"
"3-Trt-KO59","Trt-KO",9,1226,"Lab 3"
"3-Ctr-WT6","Ctr-WT",0,230,"Lab 3"
"3-Ctr-WT6","Ctr-WT",3,376,"Lab 3"
"3-Ctr-WT6","Ctr-WT",6,551,"Lab 3"
"3-Ctr-WT6","Ctr-WT",9,631,"Lab 3"
"3-Ctr-WT6","Ctr-WT",12,864,"Lab 3"
"3-Ctr-WT6","Ctr-WT",15,496,"Lab 3"
"3-Trt-KO60","Trt-KO",0,187,"Lab 3"
"3-Trt-KO60","Trt-KO",3,355,"Lab 3"
"3-Trt-KO60","Trt-KO",6,699,"Lab 3"
"3-Trt-KO60","Trt-KO",9,711,"Lab 3"
"3-Trt-KO60","Trt-KO",12,1039,"Lab 3"
"3-Trt-KO60","Trt-KO",15,1484,"Lab 3"
"3-Trt-KO61","Trt-KO",0,282,"Lab 3"
"3-Trt-KO61","Trt-KO",3,396,"Lab 3"
"3-Trt-KO61","Trt-KO",6,521,"Lab 3"
"3-Trt-KO61","Trt-KO",9,998,"Lab 3"
"3-Trt-KO61","Trt-KO",12,1146,"Lab 3"
"3-Trt-KO61","Trt-KO",15,1396,"Lab 3"
"3-Trt-KO62","Trt-KO",0,280,"Lab 3"
"3-Trt-KO62","Trt-KO",3,795,"Lab 3"
"3-Trt-KO62","Trt-KO",6,1035,"Lab 3"
"3-Trt-KO62","Trt-KO",9,1260,"Lab 3"
"3-Trt-KO62","Trt-KO",12,1441,"Lab 3"
"3-Trt-KO62","Trt-KO",15,1405,"Lab 3"
"3-Trt-KO63","Trt-KO",0,276,"Lab 3"
"3-Trt-KO63","Trt-KO",3,970,"Lab 3"
"3-Trt-KO63","Trt-KO",6,941,"Lab 3"
"3-Trt-KO63","Trt-KO",9,1536,"Lab 3"
"3-Trt-KO64","Trt-KO",0,171,"Lab 3"
"3-Trt-KO64","Trt-KO",3,421,"Lab 3"
"3-Trt-KO64","Trt-KO",6,658,"Lab 3"
"3-Trt-KO64","Trt-KO",9,1185,"Lab 3"
"3-Trt-KO64","Trt-KO",12,1192,"Lab 3"
"3-Trt-KO64","Trt-KO",15,1863,"Lab 3"
"3-Trt-KO65","Trt-KO",0,282,"Lab 3"
"3-Trt-KO65","Trt-KO",3,530,"Lab 3"
"3-Trt-KO65","Trt-KO",6,504,"Lab 3"
"3-Trt-KO65","Trt-KO",9,627,"Lab 3"
"3-Trt-KO65","Trt-KO",12,995,"Lab 3"
"3-Trt-KO65","Trt-KO",15,710,"Lab 3"
"3-Trt-KO66","Trt-KO",0,200,"Lab 3"
"3-Trt-KO66","Trt-KO",3,689,"Lab 3"
"3-Trt-KO66","Trt-KO",6,743,"Lab 3"
"3-Trt-KO66","Trt-KO",9,1306,"Lab 3"
"3-Trt-KO66","Trt-KO",12,825,"Lab 3"
"3-Trt-KO66","Trt-KO",15,841,"Lab 3"
"3-Trt-KO67","Trt-KO",0,197,"Lab 3"
"3-Trt-KO67","Trt-KO",3,270,"Lab 3"
"3-Trt-KO67","Trt-KO",6,552,"Lab 3"
"3-Trt-KO67","Trt-KO",9,325,"Lab 3"
"3-Trt-KO67","Trt-KO",12,495,"Lab 3"
"3-Trt-KO67","Trt-KO",15,623,"Lab 3"
"3-Trt-KO68","Trt-KO",0,268,"Lab 3"
"3-Trt-KO68","Trt-KO",3,503,"Lab 3"
"3-Trt-KO68","Trt-KO",6,698,"Lab 3"
"3-Trt-KO68","Trt-KO",9,714,"Lab 3"
"3-Trt-KO68","Trt-KO",12,969,"Lab 3"
"3-Trt-KO68","Trt-KO",15,666,"Lab 3"
"3-Trt-KO69","Trt-KO",0,440,"Lab 3"
"3-Trt-KO69","Trt-KO",3,538,"Lab 3"
"3-Trt-KO69","Trt-KO",6,753,"Lab 3"
"3-Trt-KO69","Trt-KO",9,767,"Lab 3"
"3-Trt-KO69","Trt-KO",12,1177,"Lab 3"
"3-Trt-KO69","Trt-KO",15,1520,"Lab 3"
"3-Ctr-WT7","Ctr-WT",0,342,"Lab 3"
"3-Ctr-WT7","Ctr-WT",3,475,"Lab 3"
"3-Ctr-WT7","Ctr-WT",6,971,"Lab 3"
"3-Ctr-WT7","Ctr-WT",9,967,"Lab 3"
"3-Ctr-WT7","Ctr-WT",12,1087,"Lab 3"
"3-Ctr-WT7","Ctr-WT",15,1077,"Lab 3"
"3-Trt-KO70","Trt-KO",0,101,"Lab 3"
"3-Trt-KO70","Trt-KO",3,251,"Lab 3"
"3-Trt-KO70","Trt-KO",6,443,"Lab 3"
"3-Trt-KO70","Trt-KO",9,770,"Lab 3"
"3-Trt-KO70","Trt-KO",12,1014,"Lab 3"
"3-Trt-KO70","Trt-KO",15,830,"Lab 3"
"3-Trt-KO71","Trt-KO",0,284,"Lab 3"
"3-Trt-KO71","Trt-KO",3,402,"Lab 3"
"3-Trt-KO71","Trt-KO",6,616,"Lab 3"
"3-Trt-KO71","Trt-KO",9,1069,"Lab 3"
"3-Trt-KO71","Trt-KO",12,786,"Lab 3"
"3-Trt-KO71","Trt-KO",15,616,"Lab 3"
"3-Trt-KO72","Trt-KO",0,395,"Lab 3"
"3-Trt-KO72","Trt-KO",3,808,"Lab 3"
"3-Trt-KO72","Trt-KO",6,839,"Lab 3"
"3-Trt-KO72","Trt-KO",9,1195,"Lab 3"
"3-Trt-KO72","Trt-KO",12,1149,"Lab 3"
"3-Trt-KO72","Trt-KO",15,933,"Lab 3"
"3-Ctr-WT8","Ctr-WT",0,150,"Lab 3"
"3-Ctr-WT8","Ctr-WT",3,226,"Lab 3"
"3-Ctr-WT8","Ctr-WT",6,208,"Lab 3"
"3-Ctr-WT8","Ctr-WT",9,490,"Lab 3"
"3-Ctr-WT8","Ctr-WT",12,455,"Lab 3"
"3-Ctr-WT8","Ctr-WT",15,596,"Lab 3"
"3-Ctr-WT9","Ctr-WT",0,192,"Lab 3"
"3-Ctr-WT9","Ctr-WT",3,335,"Lab 3"
"3-Ctr-WT9","Ctr-WT",6,504,"Lab 3"
"3-Ctr-WT9","Ctr-WT",9,1004,"Lab 3"
"3-Ctr-WT9","Ctr-WT",12,701,"Lab 3"
"3-Ctr-WT9","Ctr-WT",15,1005,"Lab 3"
"4-Ctr-WT1","Ctr-WT",0,96,"Lab 4"
"4-Ctr-WT1","Ctr-WT",3,124,"Lab 4"
"4-Ctr-WT1","Ctr-WT",6,158,"Lab 4"
"4-Ctr-WT1","Ctr-WT",9,178,"Lab 4"
"4-Ctr-WT1","Ctr-WT",12,228,"Lab 4"
"4-Ctr-WT1","Ctr-WT",15,216,"Lab 4"
"4-Ctr-WT10","Ctr-WT",0,58,"Lab 4"
"4-Ctr-WT10","Ctr-WT",3,165,"Lab 4"
"4-Ctr-WT10","Ctr-WT",6,169,"Lab 4"
"4-Ctr-WT10","Ctr-WT",9,572,"Lab 4"
"4-Ctr-WT10","Ctr-WT",12,453,"Lab 4"
"4-Ctr-WT10","Ctr-WT",15,841,"Lab 4"
"4-Ctr-WT11","Ctr-WT",0,94,"Lab 4"
"4-Ctr-WT11","Ctr-WT",3,263,"Lab 4"
"4-Ctr-WT11","Ctr-WT",6,389,"Lab 4"
"4-Ctr-WT11","Ctr-WT",9,625,"Lab 4"
"4-Ctr-WT11","Ctr-WT",12,555,"Lab 4"
"4-Ctr-WT11","Ctr-WT",15,677,"Lab 4"
"4-Ctr-WT12","Ctr-WT",0,59,"Lab 4"
"4-Ctr-WT12","Ctr-WT",3,85,"Lab 4"
"4-Ctr-WT12","Ctr-WT",6,152,"Lab 4"
"4-Ctr-WT12","Ctr-WT",9,430,"Lab 4"
"4-Ctr-WT12","Ctr-WT",12,362,"Lab 4"
"4-Ctr-WT12","Ctr-WT",15,660,"Lab 4"
"4-Ctr-WT13","Ctr-WT",0,33,"Lab 4"
"4-Ctr-WT13","Ctr-WT",3,59,"Lab 4"
"4-Ctr-WT13","Ctr-WT",6,121,"Lab 4"
"4-Ctr-WT13","Ctr-WT",9,93,"Lab 4"
"4-Ctr-WT13","Ctr-WT",12,191,"Lab 4"
"4-Ctr-WT13","Ctr-WT",15,195,"Lab 4"
"4-Ctr-WT14","Ctr-WT",0,109,"Lab 4"
"4-Ctr-WT14","Ctr-WT",3,283,"Lab 4"
"4-Ctr-WT14","Ctr-WT",6,435,"Lab 4"
"4-Ctr-WT14","Ctr-WT",9,668,"Lab 4"
"4-Ctr-WT14","Ctr-WT",12,940,"Lab 4"
"4-Ctr-WT14","Ctr-WT",15,889,"Lab 4"
"4-Ctr-WT15","Ctr-WT",0,103,"Lab 4"
"4-Ctr-WT15","Ctr-WT",3,134,"Lab 4"
"4-Ctr-WT15","Ctr-WT",6,197,"Lab 4"
