"IDmouse","ExpGroup","time","TVolume","lab"
"1-Trt-WT25","Trt-WT",6,883,"Lab 1"
"1-Trt-WT25","Trt-WT",9,1765,"Lab 1"
"1-Trt-WT26","Trt-WT",0,167,"Lab 1"
"1-Trt-WT26","Trt-WT",3,372,"Lab 1"
"1-Trt-WT26","Trt-WT",6,534,"Lab 1"
"1-Trt-WT26","Trt-WT",9,785,"Lab 1"
"1-Trt-WT26","Trt-WT",12,918,"Lab 1"
"1-Trt-WT26","Trt-WT",15,1050,"Lab 1"
"1-Trt-WT27","Trt-WT",0,112,"Lab 1"
"1-Trt-WT27","Trt-WT",3,323,"Lab 1"
"1-Trt-WT27","Trt-WT",6,458,"Lab 1"
"1-Trt-WT27","Trt-WT",9,826,"Lab 1"
"1-Trt-WT27","Trt-WT",12,1372,"Lab 1"
"1-Trt-WT27","Trt-WT",15,1301,"Lab 1"
"1-Trt-WT28","Trt-WT",0,108,"Lab 1"
"1-Trt-WT28","Trt-WT",3,278,"Lab 1"
"1-Trt-WT28","Trt-WT",6,389,"Lab 1"
"1-Trt-WT28","Trt-WT",9,522,"Lab 1"
"1-Trt-WT28","Trt-WT",12,1037,"Lab 1"
"1-Trt-WT28","Trt-WT",15,978,"Lab 1"
"1-Trt-WT29","Trt-WT",0,128,"Lab 1"
"1-Trt-WT29","Trt-WT",3,228,"Lab 1"
"1-Trt-WT29","Trt-WT",6,520,"Lab 1"
"1-Trt-WT29","Trt-WT",9,376,"Lab 1"
"1-Trt-WT29","Trt-WT",12,537,"Lab 1"
"1-Trt-WT29","Trt-WT",15,579,"Lab 1"
"1-Ctr-WT3","Ctr-WT",0,135,"Lab 1"
"1-Ctr-WT3","Ctr-WT",3,211,"Lab 1"
"1-Ctr-WT3","Ctr-WT",6,338,"Lab 1"
"1-Ctr-WT3","Ctr-WT",9,464,"Lab 1"
"1-Ctr-WT3","Ctr-WT",12,367,"Lab 1"
"1-Ctr-WT3","Ctr-WT",15,327,"Lab 1"
"1-Trt-WT30","Trt-WT",0,152,"Lab 1"
"1-Trt-WT30","Trt-WT",3,256,"Lab 1"
"1-Trt-WT30","Trt-WT",6,579,"Lab 1"
"1-Trt-WT30","Trt-WT",9,1312,"Lab 1"
"1-Trt-WT30","Trt-WT",12,994,"Lab 1"
"1-Trt-WT30","Trt-WT",15,1636,"Lab 1"
"1-Trt-WT31","Trt-WT",0,285,"Lab 1"
"1-Trt-WT31","Trt-WT",3,599,"Lab 1"
"1-Trt-WT31","Trt-WT",6,849,"Lab 1"
"1-Trt-WT31","Trt-WT",9,925,"Lab 1"
"1-Trt-WT31","Trt-WT",12,1876,"Lab 1"
"1-Trt-WT32","Trt-WT",0,160,"Lab 1"
"1-Trt-WT32","Trt-WT",3,257,"Lab 1"
"1-Trt-WT32","Trt-WT",6,599,"Lab 1"
"1-Trt-WT32","Trt-WT",9,911,"Lab 1"
"1-Trt-WT32","Trt-WT",12,1241,"Lab 1"
"1-Trt-WT32","Trt-WT",15,1541,"Lab 1"
"1-Trt-WT33","Trt-WT",0,84,"Lab 1"
"1-Trt-WT33","Trt-WT",3,240,"Lab 1"
"1-Trt-WT33","Trt-WT",6,343,"Lab 1"
"1-Trt-WT33","Trt-WT",9,653,"Lab 1"
"1-Trt-WT33","Trt-WT",12,1126,"Lab 1"
"1-Trt-WT33","Trt-WT",15,1550,"Lab 1"
"1-Trt-WT34","Trt-WT",0,114,"Lab 1"
"1-Trt-WT34","Trt-WT",3,209,"Lab 1"
"1-Trt-WT34","Trt-WT",6,216,"Lab 1"
"1-Trt-WT34","Trt-WT",9,465,"Lab 1"
"1-Trt-WT34","Trt-WT",12,614,"Lab 1"
"1-Trt-WT34","Trt-WT",15,594,"Lab 1"
"1-Trt-WT35","Trt-WT",0,109,"Lab 1"
"1-Trt-WT35","Trt-WT",3,174,"Lab 1"
"1-Trt-WT35","Trt-WT",6,364,"Lab 1"
"1-Trt-WT35","Trt-WT",9,358,"Lab 1"
"1-Trt-WT35","Trt-WT",12,248,"Lab 1"
"1-Trt-WT35","Trt-WT",15,336,"Lab 1"
"1-Trt-WT36","Trt-WT",0,178,"Lab 1"
"1-Trt-WT36","Trt-WT",3,253,"Lab 1"
"1-Trt-WT36","Trt-WT",6,398,"Lab 1"
"1-Trt-WT36","Trt-WT",9,554,"Lab 1"
"1-Trt-WT36","Trt-WT",12,620,"Lab 1"
"1-Trt-WT36","Trt-WT",15,442,"Lab 1"
"1-Trt-KO37","Trt-KO",0,105,"Lab 1"
"1-Trt-KO37","Trt-KO",3,274,"Lab 1"
"1-Trt-KO37","Trt-KO",6,542,"Lab 1"
"1-Trt-KO37","Trt-KO",9,587,"Lab 1"
"1-Trt-KO37","Trt-KO",12,660,"Lab 1"
"1-Trt-KO37","Trt-KO",15,484,"Lab 1"
"1-Trt-KO38","Trt-KO",0,121,"Lab 1"
"1-Trt-KO38","Trt-KO",3,168,"Lab 1"
"1-Trt-KO38","Trt-KO",6,417,"Lab 1"
"1-Trt-KO38","Trt-KO",9,547,"Lab 1"
"1-Trt-KO38","Trt-KO",12,663,"Lab 1"
"1-Trt-KO38","Trt-KO",15,516,"Lab 1"
"1-Trt-KO39","Trt-KO",0,193,"Lab 1"
"1-Trt-KO39","Trt-KO",3,274,"Lab 1"
"1-Trt-KO39","Trt-KO",6,752,"Lab 1"
"1-Trt-KO39","Trt-KO",9,1147,"Lab 1"
"1-Trt-KO39","Trt-KO",12,989,"Lab 1"
"1-Trt-KO39","Trt-KO",15,1748,"Lab 1"
"1-Ctr-WT4","Ctr-WT",0,147,"Lab 1"
"1-Ctr-WT4","Ctr-WT",3,304,"Lab 1"
"1-Ctr-WT4","Ctr-WT",6,386,"Lab 1"
"1-Ctr-WT4","Ctr-WT",9,776,"Lab 1"
"1-Ctr-WT4","Ctr-WT",12,943,"Lab 1"
"1-Ctr-WT4","Ctr-WT",15,991,"Lab 1"
"1-Trt-KO40","Trt-KO",0,145,"Lab 1"
"1-Trt-KO40","Trt-KO",3,254,"Lab 1"
"1-Trt-KO40","Trt-KO",6,398,"Lab 1"
"1-Trt-KO40","Trt-KO",9,432,"Lab 1"
"1-Trt-KO40","Trt-KO",12,435,"Lab 1"
"1-Trt-KO40","Trt-KO",15,468,"Lab 1"
"1-Trt-KO41","Trt-KO",0,213,"Lab 1"
"1-Trt-KO41","Trt-KO",3,287,"Lab 1"
"1-Trt-KO41","Trt-KO",6,361,"Lab 1"
"1-Trt-KO41","Trt-KO",9,375,"Lab 1"
"1-Trt-KO41","Trt-KO",12,516,"Lab 1"
"1-Trt-KO41","Trt-KO",15,283,"Lab 1"
"1-Trt-KO42","Trt-KO",0,173,"Lab 1"
"1-Trt-KO42","Trt-KO",3,205,"Lab 1"
"1-Trt-KO42","Trt-KO",6,283,"Lab 1"
"1-Trt-KO42","Trt-KO",9,447,"Lab 1"
"1-Trt-KO42","Trt-KO",12,346,"Lab 1"
"1-Trt-KO42","Trt-KO",15,344,"Lab 1"
"1-Trt-KO43","Trt-KO",0,104,"Lab 1"
"1-Trt-KO43","Trt-KO",3,178,"Lab 1"
"1-Trt-KO43","Trt-KO",6,247,"Lab 1"
"1-Trt-KO43","Trt-KO",9,311,"Lab 1"
"1-Trt-KO43","Trt-KO",12,346,"Lab 1"
"1-Trt-KO43","Trt-KO",15,205,"Lab 1"
"1-Trt-KO44","Trt-KO",0,315,"Lab 1"
"1-Trt-KO44","Trt-KO",3,367,"Lab 1"
"1-Trt-KO44","Trt-KO",6,687,"Lab 1"
"1-Trt-KO44","Trt-KO",9,884,"Lab 1"
"1-Trt-KO44","Trt-KO",12,1141,"Lab 1"
"1-Trt-KO44","Trt-KO",15,1414,"Lab 1"
"1-Trt-KO45","Trt-KO",0,79,"Lab 1"
"1-Trt-KO45","Trt-KO",3,115,"Lab 1"
"1-Trt-KO45","Trt-KO",6,239,"Lab 1"
"1-Trt-KO45","Trt-KO",9,222,"Lab 1"
"1-Trt-KO45","Trt-KO",12,329,"Lab 1"
"1-Trt-KO45","Trt-KO",15,247,"Lab 1"
"1-Trt-KO46","Trt-KO",0,99,"Lab 1"
"1-Trt-KO46","Trt-KO",3,214,"Lab 1"
"1-Trt-KO46","Trt-KO",6,277,"Lab 1"
"1-Trt-KO46","Trt-KO",9,299,"Lab 1"
"1-Trt-KO46","Trt-KO",12,425,"Lab 1"
"1-Trt-KO46","Trt-KO",15,262,"Lab 1"
"1-Trt-KO47","Trt-KO",0,78,"Lab 1"
"1-Trt-KO47","Trt-KO",3,205,"Lab 1"
"1-Trt-KO47","Trt-KO",6,255,"Lab 1"
"1-Trt-KO47","Trt-KO",9,385,"Lab 1"
"1-Trt-KO47","Trt-KO",12,284,"Lab 1"
"1-Trt-KO47","Trt-KO",15,404,"Lab 1"
"1-Trt-KO48","Trt-KO",0,146,"Lab 1"
"1-Trt-KO48","Trt-KO",3,216,"Lab 1"
"1-Trt-KO48","Trt-KO",6,292,"Lab 1"
"1-Trt-KO48","Trt-KO",9,281,"Lab 1"
"1-Trt-KO48","Trt-KO",12,315,"Lab 1"
"1-Trt-KO48","Trt-KO",15,464,"Lab 1"
"1-Ctr-WT5","Ctr-WT",0,101,"Lab 1"
"1-Ctr-WT5","Ctr-WT",3,202,"Lab 1"
"1-Ctr-WT5","Ctr-WT",6,367,"Lab 1"
"1-Ctr-WT5","Ctr-WT",9,860,"Lab 1"
"1-Ctr-WT5","Ctr-WT",12,1270,"Lab 1"
"1-Ctr-WT5","Ctr-WT",15,1678,"Lab 1"
"1-Ctr-WT6","Ctr-WT",0,92,"Lab 1"
"1-Ctr-WT6","Ctr-WT",3,186,"Lab 1"
"1-Ctr-WT6","Ctr-WT",6,583,"Lab 1"
"1-Ctr-WT6","Ctr-WT",9,641,"Lab 1"
"1-Ctr-WT6","Ctr-WT",12,927,"Lab 1"
"1-Ctr-WT6","Ctr-WT",15,1105,"Lab 1"
"1-Ctr-WT7","Ctr-WT",0,160,"Lab 1"
"1-Ctr-WT7","Ctr-WT",3,279,"Lab 1"
"1-Ctr-WT7","Ctr-WT",6,565,"Lab 1"
"1-Ctr-WT7","Ctr-WT",9,592,"Lab 1"
"1-Ctr-WT7","Ctr-WT",12,1294,"Lab 1"
"1-Ctr-WT7","Ctr-WT",15,1399,"Lab 1"
"1-Ctr-WT8","Ctr-WT",0,217,"Lab 1"
"1-Ctr-WT8","Ctr-WT",3,468,"Lab 1"
"1-Ctr-WT8","Ctr-WT",6,702,"Lab 1"
"1-Ctr-WT8","Ctr-WT",9,1364,"Lab 1"
"1-Ctr-WT8","Ctr-WT",12,1348,"Lab 1"
"1-Ctr-WT8","Ctr-WT",15,1579,"Lab 1"
"1-Ctr-WT9","Ctr-WT",0,119,"Lab 1"
"1-Ctr-WT9","Ctr-WT",3,274,"Lab 1"
"1-Ctr-WT9","Ctr-WT",6,465,"Lab 1"
"1-Ctr-WT9","Ctr-WT",9,751,"Lab 1"
