"IDmouse","ExpGroup","Date","time","TVolume"
"ID-11","Carboplatin + Gefitinib",2024-03-25,7,556.7148275
"ID-10","Carboplatin + Gefitinib",2024-03-25,7,447.519816
"ID-29","Carboplatin + Gefitinib",2024-03-25,7,95.319648
"ID-23","Carboplatin + Gefitinib",2024-03-25,7,68.2678435
"ID-1","Carboplatin + Gefitinib",2024-03-25,7,356.739952
"ID-31","Carboplatin + Gefitinib",2024-03-25,7,179.891046
"ID-28","Vehicle",2024-03-28,10,1702.1511
"ID-16","Vehicle",2024-03-28,10,995.888836
"ID-22","Vehicle",2024-03-28,10,812.51424
"ID-5","Vehicle",2024-03-28,10,1045.456532
"ID-12","Vehicle",2024-03-28,10,1224.874744
"ID-15","Vehicle",2024-03-28,10,375.092811
"ID-9","Vehicle",2024-03-28,10,538.608408
"ID-32","Vehicle",2024-03-28,10,747.7558
"ID-6","Vehicle",2024-03-28,10,368.139
"ID-34","Carboplatin",2024-03-28,10,1147.86408
"ID-4","Carboplatin",2024-03-28,10,834.040638
"ID-2","Carboplatin",2024-03-28,10,1135.7860585
"ID-7","Carboplatin",2024-03-28,10,119.3013325
"ID-33","Carboplatin",2024-03-28,10,526.7280375
"ID-27","Carboplatin",2024-03-28,10,407.025
"ID-30","Carboplatin",2024-03-28,10,359.18813
"ID-14","Carboplatin",2024-03-28,10,453.748481
"ID-19","Carboplatin",2024-03-28,10,173.278119
"ID-25","Gefitinib",2024-03-28,10,657.5596645
"ID-17","Gefitinib",2024-03-28,10,1195.47156
"ID-35","Gefitinib",2024-03-28,10,1071.8738285
"ID-8","Gefitinib",2024-03-28,10,938.5210875
"ID-26","Gefitinib",2024-03-28,10,290.6328645
"ID-18","Gefitinib",2024-03-28,10,338.2340405
"ID-13","Gefitinib",2024-03-28,10,1299.786098
"ID-20","Carboplatin + Gefitinib",2024-03-28,10,768.996984
"ID-24","Carboplatin + Gefitinib",2024-03-28,10,158.2243875
"ID-21","Carboplatin + Gefitinib",2024-03-28,10,286.4619
"ID-11","Carboplatin + Gefitinib",2024-03-28,10,554.045472
"ID-10","Carboplatin + Gefitinib",2024-03-28,10,539.1483525
"ID-29","Carboplatin + Gefitinib",2024-03-28,10,57.649122
"ID-23","Carboplatin + Gefitinib",2024-03-28,10,64.323549
"ID-1","Carboplatin + Gefitinib",2024-03-28,10,337.881
"ID-31","Carboplatin + Gefitinib",2024-03-28,10,208.654336
"ID-28","Vehicle",2024-03-30,12,2075.39622
"ID-16","Vehicle",2024-03-30,12,1083.193856
"ID-22","Vehicle",2024-03-30,12,860.341656
"ID-5","Vehicle",2024-03-30,12,1126.390824
"ID-12","Vehicle",2024-03-30,12,1613.77168
"ID-15","Vehicle",2024-03-30,12,413.205012
"ID-9","Vehicle",2024-03-30,12,568.468192
"ID-32","Vehicle",2024-03-30,12,919.901304
"ID-6","Vehicle",2024-03-30,12,459.78835
"ID-34","Carboplatin",2024-03-30,12,1056.980925
"ID-4","Carboplatin",2024-03-30,12,943.598656
"ID-2","Carboplatin",2024-03-30,12,1255.887952
"ID-7","Carboplatin",2024-03-30,12,101.263448
"ID-33","Carboplatin",2024-03-30,12,500.8311
"ID-27","Carboplatin",2024-03-30,12,400.8588055
"ID-30","Carboplatin",2024-03-30,12,303.955632
"ID-14","Carboplatin",2024-03-30,12,447.561
"ID-19","Carboplatin",2024-03-30,12,155.526
"ID-25","Gefitinib",2024-03-30,12,740.2446
"ID-17","Gefitinib",2024-03-30,12,1490.38816
"ID-35","Gefitinib",2024-03-30,12,1184.705757
"ID-8","Gefitinib",2024-03-30,12,1137.498732
"ID-26","Gefitinib",2024-03-30,12,371.243736
"ID-18","Gefitinib",2024-03-30,12,425.852928
"ID-13","Gefitinib",2024-03-30,12,1613.586464
"ID-20","Carboplatin + Gefitinib",2024-03-30,12,794.7054
"ID-24","Carboplatin + Gefitinib",2024-03-30,12,170.1331
"ID-21","Carboplatin + Gefitinib",2024-03-30,12,250.419078
"ID-11","Carboplatin + Gefitinib",2024-03-30,12,590.304078
"ID-10","Carboplatin + Gefitinib",2024-03-30,12,614.1186765
"ID-29","Carboplatin + Gefitinib",2024-03-30,12,37.36368
"ID-23","Carboplatin + Gefitinib",2024-03-30,12,76.6390135
"ID-1","Carboplatin + Gefitinib",2024-03-30,12,308.445762
"ID-31","Carboplatin + Gefitinib",2024-03-30,12,191.82096
"ID-22","Vehicle",2024-04-01,14,1019.26125
"ID-5","Vehicle",2024-04-01,14,1224.556259
"ID-12","Vehicle",2024-04-01,14,1738.677915
"ID-15","Vehicle",2024-04-01,14,497.148175
"ID-9","Vehicle",2024-04-01,14,570.772608
"ID-32","Vehicle",2024-04-01,14,966.008736
"ID-6","Vehicle",2024-04-01,14,477.000568
"ID-34","Carboplatin",2024-04-01,14,1095.375168
"ID-4","Carboplatin",2024-04-01,14,944.157496
"ID-2","Carboplatin",2024-04-01,14,1378.574338
"ID-7","Carboplatin",2024-04-01,14,78.111232
"ID-33","Carboplatin",2024-04-01,14,487.145126
"ID-27","Carboplatin",2024-04-01,14,404.227584
"ID-30","Carboplatin",2024-04-01,14,258.794316
"ID-14","Carboplatin",2024-04-01,14,483.6128
"ID-19","Carboplatin",2024-04-01,14,142.8799905
"ID-25","Gefitinib",2024-04-01,14,893.2021875
"ID-17","Gefitinib",2024-04-01,14,1920.493434
"ID-35","Gefitinib",2024-04-01,14,1363.70695
"ID-8","Gefitinib",2024-04-01,14,1088.952345
"ID-26","Gefitinib",2024-04-01,14,373.7325825
"ID-18","Gefitinib",2024-04-01,14,500.094
"ID-13","Gefitinib",2024-04-01,14,2045.7998
"ID-20","Carboplatin + Gefitinib",2024-04-01,14,776.450727
"ID-24","Carboplatin + Gefitinib",2024-04-01,14,134.587572
"ID-21","Carboplatin + Gefitinib",2024-04-01,14,265.6082115
"ID-11","Carboplatin + Gefitinib",2024-04-01,14,468.2435335
"ID-10","Carboplatin + Gefitinib",2024-04-01,14,589.839333
"ID-29","Carboplatin + Gefitinib",2024-04-01,14,19.08
"ID-23","Carboplatin + Gefitinib",2024-04-01,14,56.91938
"ID-1","Carboplatin + Gefitinib",2024-04-01,14,356.820228
"ID-31","Carboplatin + Gefitinib",2024-04-01,14,138.7168335
"ID-22","Vehicle",2024-04-03,16,1006.424276
"ID-15","Vehicle",2024-04-03,16,604.675872
"ID-9","Vehicle",2024-04-03,16,574.9579845
"ID-32","Vehicle",2024-04-03,16,1061.84372
"ID-6","Vehicle",2024-04-03,16,672.1536735
"ID-34","Carboplatin",2024-04-03,16,1196.862288
"ID-4","Carboplatin",2024-04-03,16,1005.8904
"ID-2","Carboplatin",2024-04-03,16,1386.6732
"ID-7","Carboplatin",2024-04-03,16,112.87848
"ID-33","Carboplatin",2024-04-03,16,587.0199195
"ID-27","Carboplatin",2024-04-03,16,447.065082
"ID-30","Carboplatin",2024-04-03,16,310.9658305
"ID-14","Carboplatin",2024-04-03,16,570.138912
"ID-19","Carboplatin",2024-04-03,16,161.8524465
"ID-35","Gefitinib",2024-04-03,16,1294.4802875
"ID-8","Gefitinib",2024-04-03,16,1290.784896
"ID-26","Gefitinib",2024-04-03,16,557.3667935
"ID-18","Gefitinib",2024-04-03,16,521.770032
"ID-20","Carboplatin + Gefitinib",2024-04-03,16,976.276377
"ID-24","Carboplatin + Gefitinib",2024-04-03,16,151.271644
"ID-21","Carboplatin + Gefitinib",2024-04-03,16,360.422016
"ID-11","Carboplatin + Gefitinib",2024-04-03,16,543.49226
"ID-10","Carboplatin + Gefitinib",2024-04-03,16,677.3594625
"ID-29","Carboplatin + Gefitinib",2024-04-03,16,27.6171065
"ID-23","Carboplatin + Gefitinib",2024-04-03,16,35.2872
"ID-1","Carboplatin + Gefitinib",2024-04-03,16,393.019209
"ID-31","Carboplatin + Gefitinib",2024-04-03,16,154.992912
"ID-15","Vehicle",2024-04-05,18,684
"ID-9","Vehicle",2024-04-05,18,632.798278
"ID-32","Vehicle",2024-04-05,18,1345.7051335
"ID-6","Vehicle",2024-04-05,18,697.2834375
"ID-34","Carboplatin",2024-04-05,18,1312.397182
"ID-4","Carboplatin",2024-04-05,18,1144.195472
"ID-2","Carboplatin",2024-04-05,18,1550.087336
"ID-7","Carboplatin",2024-04-05,18,131.424
